{'loss': 2.958, 'learning_rate': 1e-05, 'epoch': 0.01, 'iter_time': 0.0, 'flops': 0.0, 'remaining_time': 0.0}
{'loss': 2.8239, 'learning_rate': 9.997445068983137e-06, 'epoch': 0.01, 'iter_time': 20.885667324066162, 'flops': 832680807541.1873, 'remaining_time': 81725.61623907089}
{'loss': 2.3729, 'learning_rate': 9.994890137966276e-06, 'epoch': 0.02, 'iter_time': 17.701215744018555, 'flops': 982480219716.9226, 'remaining_time': 69247.15599060059}
{'loss': 3.0495, 'learning_rate': 9.992335206949412e-06, 'epoch': 0.02, 'iter_time': 16.856043974558514, 'flops': 1031742344745.2474, 'remaining_time': 65923.98798449835}
{'loss': 2.2883, 'learning_rate': 9.98978027593255e-06, 'epoch': 0.03, 'iter_time': 16.36217200756073, 'flops': 1062884213990.8943, 'remaining_time': 63976.092549562454}
{'loss': 3.1261, 'learning_rate': 9.987225344915689e-06, 'epoch': 0.03, 'iter_time': 16.66677346229553, 'flops': 1043458973794.962, 'remaining_time': 65150.41746411323}
{'loss': 1.9871, 'learning_rate': 9.984670413898825e-06, 'epoch': 0.04, 'iter_time': 16.36022384961446, 'flops': 1063010781105.5308, 'remaining_time': 63935.75480429331}
{'loss': 2.0484, 'learning_rate': 9.982115482881963e-06, 'epoch': 0.04, 'iter_time': 17.893808160509383, 'flops': 971905710480.4083, 'remaining_time': 69911.10848311016}
{'loss': 1.7439, 'learning_rate': 9.9795605518651e-06, 'epoch': 0.05, 'iter_time': 17.143159955739975, 'flops': 1014462583230.8711, 'remaining_time': 66961.18278712034}
{'loss': 2.9759, 'learning_rate': 9.977005620848238e-06, 'epoch': 0.05, 'iter_time': 16.36207217640347, 'flops': 1062890699047.3085, 'remaining_time': 63893.89184885555}
{'loss': 2.1775, 'learning_rate': 9.974450689831375e-06, 'epoch': 0.06, 'iter_time': 15.747529292106629, 'flops': 1104369708469.582, 'remaining_time': 61478.354356384276}
{'loss': 2.6166, 'learning_rate': 9.971895758814513e-06, 'epoch': 0.06, 'iter_time': 15.136164340105923, 'flops': 1148976315443.3547, 'remaining_time': 59076.44941943342}
{'loss': 2.475, 'learning_rate': 9.96934082779765e-06, 'epoch': 0.07, 'iter_time': 14.705501675605774, 'flops': 1182625028174.9463, 'remaining_time': 57380.86753821373}
{'loss': 1.8574, 'learning_rate': 9.966785896780788e-06, 'epoch': 0.07, 'iter_time': 14.323529463547926, 'flops': 1214162639012.8735, 'remaining_time': 55876.08843730046}
{'loss': 2.6065, 'learning_rate': 9.964230965763924e-06, 'epoch': 0.08, 'iter_time': 13.974756257874626, 'flops': 1244464948978.291, 'remaining_time': 54501.54940571104}
{'loss': 1.845, 'learning_rate': 9.961676034747063e-06, 'epoch': 0.08, 'iter_time': 13.696483739217122, 'flops': 1269748839524.71, 'remaining_time': 53402.590099207555}
{'loss': 2.5988, 'learning_rate': 9.959121103730201e-06, 'epoch': 0.09, 'iter_time': 13.731709256768227, 'flops': 1266491593161.8708, 'remaining_time': 53526.20268288255}
{'loss': 2.1344, 'learning_rate': 9.956566172713337e-06, 'epoch': 0.09, 'iter_time': 13.760375527774587, 'flops': 1263853177432.331, 'remaining_time': 53624.18343173756}
{'loss': 1.9309, 'learning_rate': 9.954011241696476e-06, 'epoch': 0.1, 'iter_time': 13.938093490070766, 'flops': 1247738390177.185, 'remaining_time': 54302.81223731571}
{'loss': 1.8279, 'learning_rate': 9.951456310679612e-06, 'epoch': 0.1, 'iter_time': 13.762515005312467, 'flops': 1263656702770.3052, 'remaining_time': 53604.99594569206}
{'loss': 2.6855, 'learning_rate': 9.94890137966275e-06, 'epoch': 0.11, 'iter_time': 13.542077040672302, 'flops': 1284226509804.039, 'remaining_time': 52732.84799637795}
{'loss': 2.3305, 'learning_rate': 9.946346448645887e-06, 'epoch': 0.11, 'iter_time': 13.463386422111874, 'flops': 1291732539510.0725, 'remaining_time': 52412.963341281524}
{'loss': 1.8653, 'learning_rate': 9.943791517629025e-06, 'epoch': 0.12, 'iter_time': 13.37697777964852, 'flops': 1300076491111.354, 'remaining_time': 52063.19751839204}
{'loss': 2.2696, 'learning_rate': 9.941236586612162e-06, 'epoch': 0.12, 'iter_time': 13.209005905234296, 'flops': 1316608869600.738, 'remaining_time': 51396.24197726665}
{'loss': 1.8612, 'learning_rate': 9.9386816555953e-06, 'epoch': 0.13, 'iter_time': 13.07838691274325, 'flops': 1329758360069.2036, 'remaining_time': 50874.92509057124}
{'loss': 3.1705, 'learning_rate': 9.936126724578438e-06, 'epoch': 0.13, 'iter_time': 12.948996820449828, 'flops': 1343045687213.0007, 'remaining_time': 50358.64863472938}
{'loss': 1.9088, 'learning_rate': 9.933571793561575e-06, 'epoch': 0.14, 'iter_time': 12.876919132012587, 'flops': 1350563295082.3599, 'remaining_time': 50065.46158526494}
{'loss': 1.5038, 'learning_rate': 9.931016862544711e-06, 'epoch': 0.14, 'iter_time': 13.018698939570674, 'flops': 1335855020088.015, 'remaining_time': 50603.68277811121}
{'loss': 2.7375, 'learning_rate': 9.92846193152785e-06, 'epoch': 0.15, 'iter_time': 12.888538113662175, 'flops': 1349345765987.6104, 'remaining_time': 50084.85910969121}
{'loss': 2.3916, 'learning_rate': 9.925907000510986e-06, 'epoch': 0.15, 'iter_time': 12.750645152453718, 'flops': 1363938383156.501, 'remaining_time': 49536.25641728269}
{'loss': 1.7754, 'learning_rate': 9.923352069494125e-06, 'epoch': 0.16, 'iter_time': 12.729416068394979, 'flops': 1366213048579.596, 'remaining_time': 49441.0520096461}
{'loss': 1.7422, 'learning_rate': 9.920797138477261e-06, 'epoch': 0.16, 'iter_time': 12.694733542780723, 'flops': 1369945597899.5334, 'remaining_time': 49293.65034661755}
{'loss': 2.0219, 'learning_rate': 9.9182422074604e-06, 'epoch': 0.17, 'iter_time': 12.573623225092888, 'flops': 1383141042331.6167, 'remaining_time': 48810.80535981059}
{'loss': 1.8798, 'learning_rate': 9.915687276443536e-06, 'epoch': 0.17, 'iter_time': 12.481590993476637, 'flops': 1393339546419.1433, 'remaining_time': 48441.05464568283}
{'loss': 1.869, 'learning_rate': 9.913132345426674e-06, 'epoch': 0.18, 'iter_time': 12.525391922277564, 'flops': 1388467078823.1653, 'remaining_time': 48598.520658436944}
{'loss': 2.9552, 'learning_rate': 9.910577414409812e-06, 'epoch': 0.18, 'iter_time': 12.458916418892997, 'flops': 1395875351332.1377, 'remaining_time': 48328.13678888594}
{'loss': 2.286, 'learning_rate': 9.908022483392949e-06, 'epoch': 0.19, 'iter_time': 12.463261624177298, 'flops': 1395388691809.4756, 'remaining_time': 48332.52857855956}
{'loss': 2.2434, 'learning_rate': 9.905467552376087e-06, 'epoch': 0.19, 'iter_time': 12.376763627335832, 'flops': 1405140702132.2852, 'remaining_time': 47984.71258318102}
{'loss': 2.654, 'learning_rate': 9.902912621359224e-06, 'epoch': 0.2, 'iter_time': 12.27732859787188, 'flops': 1416521044851.282, 'remaining_time': 47586.92564535141}
{'loss': 2.5283, 'learning_rate': 9.900357690342362e-06, 'epoch': 0.2, 'iter_time': 12.189923219191723, 'flops': 1426677922471.209, 'remaining_time': 47235.95247436793}
{'loss': 2.2688, 'learning_rate': 9.897802759325499e-06, 'epoch': 0.21, 'iter_time': 12.142029505968093, 'flops': 1432305392182.7375, 'remaining_time': 47038.22230612039}
{'loss': 2.2428, 'learning_rate': 9.895247828308637e-06, 'epoch': 0.21, 'iter_time': 12.093615851751188, 'flops': 1438039255308.5537, 'remaining_time': 46838.574193832355}
{'loss': 2.0571, 'learning_rate': 9.892692897291773e-06, 'epoch': 0.22, 'iter_time': 12.017053922017416, 'flops': 1447201156481.1548, 'remaining_time': 46530.03278605144}
{'loss': 1.8139, 'learning_rate': 9.890137966274912e-06, 'epoch': 0.22, 'iter_time': 11.954197706178178, 'flops': 1454810666587.179, 'remaining_time': 46274.69932061573}
{'loss': 1.7065, 'learning_rate': 9.88758303525805e-06, 'epoch': 0.23, 'iter_time': 11.923168561675332, 'flops': 1458596701328.222, 'remaining_time': 46142.66233368354}
{'loss': 1.8979, 'learning_rate': 9.885028104241186e-06, 'epoch': 0.23, 'iter_time': 11.901872025595772, 'flops': 1461206631699.5586, 'remaining_time': 46048.34286703004}
{'loss': 1.9469, 'learning_rate': 9.882473173224325e-06, 'epoch': 0.24, 'iter_time': 11.912628132364024, 'flops': 1459887284334.191, 'remaining_time': 46078.04561598404}
{'loss': 1.6656, 'learning_rate': 9.879918242207461e-06, 'epoch': 0.25, 'iter_time': 11.947978491478779, 'flops': 1455567931080.8281, 'remaining_time': 46202.83282654844}
{'loss': 1.7077, 'learning_rate': 9.8773633111906e-06, 'epoch': 0.25, 'iter_time': 11.921998605132103, 'flops': 1458739839640.1084, 'remaining_time': 46090.44660744071}
{'loss': 1.7631, 'learning_rate': 9.874808380173736e-06, 'epoch': 0.26, 'iter_time': 12.016331526697899, 'flops': 1447288159019.2854, 'remaining_time': 46443.121350687376}
{'loss': 2.0216, 'learning_rate': 9.872253449156873e-06, 'epoch': 0.26, 'iter_time': 12.00318136692047, 'flops': 1448873744536.4329, 'remaining_time': 46380.2928017807}
